company_name,industry,sector,business_category,headquarters_city,headquarters_country,headquarters_full_address,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,total_raised,representative_name,_source_table
OsaÃ¼hingSparkliInvest(12524271),Other sprts activities not classified elsewhere,,,[],,Harju maakond Tallinn MustamÃ¤e linnaosa Kadaka tee 5 10621   ,23.08.2013,,12524271.0,,,,,,https://ariregister.rik.ee/eng/company/12524271/OsaÃ¼hing-Sparkli-Invest?search_id=6b4eef4&pos=1152,,,Kirsti Vaikla,wissel-ariregister
SparklineOÃœ(14381371),Sale of cars and light motor vehicles,,,[],,Tartu maakond Tartu linn Tartu linn Ilmatsalu tn 52-36 50408   ,30.11.2017,,14381371.0,,,,,,https://ariregister.rik.ee/eng/company/14381371/Sparkline-OÃœ?search_id=6b4eef4&pos=1153,,,Ervins Seiksts,wissel-ariregister
SparklingBeautyOÃœ(16272752),Computer consultancy activities,,,[],,Harju maakond Saku vald Kasemetsa kÃ¼la UusmÃ¤e pÃµik 6-15 75510   ,16.07.2021,,16272752.0,,,,,,https://ariregister.rik.ee/eng/company/16272752/Sparkling-Beauty-OÃœ?search_id=6b4eef4&pos=1154,,,Annegrete Peek,wissel-ariregister
OÃœSparklingGroup(11144914),Hairdressing and other beauty treatment,,,[],,Harju maakond Tallinn Kesklinna linnaosa Viru vÃ¤ljak 2 10111   ,06.06.2005,,11144914.0,,,,,,https://ariregister.rik.ee/eng/company/11144914/OÃœ-Sparkling-Group?search_id=6b4eef4&pos=1155,,,Kimberly Ader,wissel-ariregister
SparklingMarmorOÃœ(14555405),Other personal service activities n.e.c.,,,[],,PÃ¤rnu maakond PÃµhja-PÃ¤rnumaa vald Kaisma kÃ¼la JÃ¤rveniidu 87401   ,30.08.2018,,14555405.0,,,,,,https://ariregister.rik.ee/eng/company/14555405/Sparkling-Marmor-OÃœ?search_id=6b4eef4&pos=1156,,,Kalev Tanner,wissel-ariregister
SparklingSpringOÃœ(11491248),Pet care services,,,[],,Harju maakond Saku vald Saku alevik Saale 75501   ,16.04.2008,,11491248.0,,,,,,https://ariregister.rik.ee/eng/company/11491248/Sparkling-Spring-OÃœ?search_id=6b4eef4&pos=1157,,,Anni Nurmoja,wissel-ariregister
SparklingStarsOÃœ(16213347),"Bookkeeping, tax consulting",,,[],,Harju maakond Tallinn Kesklinna linnaosa Kiisa tn 9 11313   ,23.04.2021,,16213347.0,,,,,,https://ariregister.rik.ee/eng/company/16213347/Sparkling-Stars-OÃœ?search_id=6b4eef4&pos=1158,,,Jaan P\xc3\xb5ldmaa,wissel-ariregister
SparklingSwanOÃœ(10378277),Other amusement and recreation activities not classified elsewhere,,,[],,Harju maakond Tallinn Kesklinna linnaosa Viru vÃ¤ljak 4 10111   ,06.02.1998,,10378277.0,,,,,,https://ariregister.rik.ee/eng/company/10378277/SparklingSwan-OÃœ?search_id=6b4eef4&pos=1159,,,Margit J\xc3\xa4rvoja,wissel-ariregister
MittetulundusÃ¼hingSPARKMakerlab(80404094),Non-specialised wholesale trade,,,[],,Tartu maakond Tartu linn Tartu linn Narva mnt 3 51009   ,20.07.2016,,80404094.0,,,,,,https://ariregister.rik.ee/eng/company/80404094/MittetulundusÃ¼hing-SPARK-Makerlab?search_id=6b4eef4&pos=1160,,,Olga Belozertseva,wissel-ariregister
SparkmarOÃœ(16573241),"Other professional, scientific and technical activities n.e.c.",,,[],,PÃµlva maakond PÃµlva vald SÃ¤Ã¤ssaare kÃ¼la JÃ¤rveotsa tee 10 64612   ,14.09.2022,,16573241.0,,,,,,https://ariregister.rik.ee/eng/company/16573241/Sparkmar-OÃœ?search_id=6b4eef4&pos=1161,,,Hristo Neiland,wissel-ariregister
SparkmillOÃœ(11548072),Real estate agencies,,,[],,,22.10.2008,,11548072.0,,,,,,https://ariregister.rik.ee/eng/company/11548072/Sparkmill-OÃœ?search_id=6b4eef4&pos=1162,,,Marthen Sokk,wissel-ariregister
SparkMobilOÃœ(14308397),,,,[],,Harju maakond Tallinn LasnamÃ¤e linnaosa Sepapaja tn 6 15551,08.08.2017,,14308397.0,,,,,,https://ariregister.rik.ee/eng/company/14308397/SparkMobil-OÃœ?search_id=6b4eef4&pos=1163,,,,wissel-ariregister
SparkmotorsOÃœ(16029916),Computer programming activities,,,[],,Harju maakond Tallinn PÃµhja-Tallinna linnaosa Uus-Kalamaja tn 11-12 10415,14.08.2020,,16029916.0,,,,,,https://ariregister.rik.ee/eng/company/16029916/Sparkmotors-OÃœ?search_id=6b4eef4&pos=1164,,,,wissel-ariregister
SPARKMOVEOÃœ(16582932),Maintenance and repair of motor vehicles,,,[],,Tartu maakond Tartu linn Tartu linn Ihaste pÃµik 18-10 51011   ,29.09.2022,,16582932.0,,,,,,https://ariregister.rik.ee/eng/company/16582932/SPARKMOVE-OÃœ?search_id=6b4eef4&pos=1165,,,Ain Paju,wissel-ariregister
OÃœSparknetCompany(11609655),Other sprts activities not classified elsewhere,,,[],,Harju maakond Tallinn Kesklinna linnaosa Roopa tn 23 10136   ,12.03.2009,,11609655.0,,,,,,https://ariregister.rik.ee/eng/company/11609655/OÃœ-Sparknet-Company?search_id=6b4eef4&pos=1166,,,Eleryn Laul,wissel-ariregister
SparknetInvestmentOÃœ(12068262),Media representation,,,[],,,03.03.2011,,12068262.0,,,,,,https://ariregister.rik.ee/eng/company/12068262/Sparknet-Investment-OÃœ?search_id=6b4eef4&pos=1167,,,Reet Roos,wissel-ariregister
OÃœSparknivis(16194147),,,,[],,Viljandi maakond Mulgi vald Lilli kÃ¼la Kooli 69002,29.03.2021,,16194147.0,,,,,,https://ariregister.rik.ee/eng/company/16194147/OÃœ-Sparknivis?search_id=6b4eef4&pos=1168,,,,wissel-ariregister
SparkofLightOÃœ(14638261),Construction of residential and non-residential buildings,,,[],,Harju maakond Tallinn Kesklinna linnaosa Roopa tn 4-3 10136   ,08.01.2019,,14638261.0,,,,,,https://ariregister.rik.ee/eng/company/14638261/Spark-of-Light-OÃœ?search_id=6b4eef4&pos=1169,,,Ott Raba,wissel-ariregister
AktsiaseltsSPARKOM(10144544),Other education not classified elsewhere,,,[],,,12.05.1997,,10144544.0,,,,,,https://ariregister.rik.ee/eng/company/10144544/Aktsiaselts-SPARKOM?search_id=6b4eef4&pos=1170,,,Asse Sauga,wissel-ariregister
SparkonOÃœ(14717569),,,,[],,Harju maakond Tallinn Kesklinna linnaosa Vana-LÃµuna tn 39-125 10134,06.05.2019,,14717569.0,,,,,,https://ariregister.rik.ee/eng/company/14717569/Sparkon-OÃœ?search_id=6b4eef4&pos=1171,,,,wissel-ariregister
SparkosOÃœ(14006791),Other legal activities,,,[],,PÃ¤rnu maakond HÃ¤Ã¤demeeste vald Laadi kÃ¼la Ringi tee 7 86503   ,03.03.2016,,14006791.0,,,,,,https://ariregister.rik.ee/eng/company/14006791/Sparkos-OÃœ?search_id=6b4eef4&pos=1172,,,Kristo Nilov,wissel-ariregister
SparkOÃœ(12133278),Business and other management consultancy activities,,,[],,Harju maakond Tallinn Kesklinna linnaosa Tatari tn 25-7 10116   ,13.07.2011,,12133278.0,,,,,,https://ariregister.rik.ee/eng/company/12133278/Spark-OÃœ?search_id=6b4eef4&pos=1173,,,Kristo S\xc3\xa4de,wissel-ariregister
SparkPortfolioOÃœ(16124655),Rental and operating of own or leased real estate,,,[],,Harju maakond Tallinn Kesklinna linnaosa Pikk tn 48-4 10133   ,21.12.2020,,16124655.0,,,,,,https://ariregister.rik.ee/eng/company/16124655/Spark-Portfolio-OÃœ?search_id=6b4eef4&pos=1174,,,Imbi Tedrekin,wissel-ariregister
SparkProductionOÃœ(14852861),Activities of holding companies,,,[],,Harju maakond Tallinn Kesklinna linnaosa Juhkentali tn 15-12 10132   ,20.11.2019,,14852861.0,,,,,,https://ariregister.rik.ee/eng/company/14852861/SparkProduction-OÃœ?search_id=6b4eef4&pos=1175,,,Anneli S\xc3\xa4de,wissel-ariregister
SparkproOÃœ(12338046),Advertising agencies,,,[],,Viljandi maakond Viljandi vald Kolga-Jaani alevik Viljandi mnt 7 70301   ,04.09.2012,,12338046.0,,,,,,https://ariregister.rik.ee/eng/company/12338046/Sparkpro-OÃœ?search_id=6b4eef4&pos=1176,,,Kairi Killing,wissel-ariregister
SparkQuartetOÃœ(12214893),Installation of electrical wiring and fittings,,,[],,,06.01.2012,,12214893.0,,,,,,https://ariregister.rik.ee/eng/company/12214893/SparkQuartet-OÃœ?search_id=6b4eef4&pos=1177,,,Taavet Tatar,wissel-ariregister
SparksKVOÃœ(16028064),,,,[],,Harju maakond Tallinn Kesklinna linnaosa LÃ¼li tn 8 10112,12.08.2020,,16028064.0,,,,,,https://ariregister.rik.ee/eng/company/16028064/Sparks-KV-OÃœ?search_id=6b4eef4&pos=1178,,,,wissel-ariregister
SparksLifeWorldwideOÃœ(14549959),Rental and operating of own or leased real estate,,,[],,Harju maakond Tallinn Kesklinna linnaosa Tuukri tn 19-315 10120   ,23.08.2018,,14549959.0,,,,,,https://ariregister.rik.ee/eng/company/14549959/SparksLife-Worldwide-OÃœ?search_id=6b4eef4&pos=1179,,,Kaisa Miller,wissel-ariregister
SPARKSocialOÃœ(14555210),"Other financial service activities, except insurance and pension funding n.e.c.",,,[],,PÃ¤rnu maakond PÃ¤rnu linn PÃ¤rnu linn MÃ¤e tn 14a 80039   ,30.08.2018,,14555210.0,,,,,,https://ariregister.rik.ee/eng/company/14555210/SPARK-Social-OÃœ?search_id=6b4eef4&pos=1180,,,Bohdan Melnychenko,wissel-ariregister
SparksoftEuropeOÃœ(14185612),Advertising agencies,,,[],,Harju maakond Tallinn LasnamÃ¤e linnaosa P. Pinna tn 6a-52 13615   ,16.01.2017,,14185612.0,,,,,,https://ariregister.rik.ee/eng/company/14185612/Sparksoft-Europe-OÃœ?search_id=6b4eef4&pos=1181,,,Kairi Killing,wissel-ariregister
SparkSolutionsOÃœ(14281103),Web portals,,,[],,Harju maakond Saue vald Alliku kÃ¼la Kotka tee 201 76403   ,21.06.2017,,14281103.0,,,,,,https://ariregister.rik.ee/eng/company/14281103/Spark-Solutions-OÃœ?search_id=6b4eef4&pos=1182,,,Denis \xc5\xbdadan,wissel-ariregister
SparksOÃœ(14742691),"Wholesale of electrical material and their requisites and electrical machines, inc cables",,,[],,Ida-Viru maakond Narva linn Tallinna mnt 23-25 20303   ,12.06.2019,,14742691.0,,,,,,https://ariregister.rik.ee/eng/company/14742691/Sparks-OÃœ?search_id=6b4eef4&pos=1183,,,Leho S\xc3\xa4de,wissel-ariregister
OsaÃ¼hingSPARKS(11740131),Other service activities,,,[],,,20.10.2009,,11740131.0,,,,,,https://ariregister.rik.ee/eng/company/11740131/OsaÃ¼hing-SPARKS?search_id=6b4eef4&pos=1184,,,Aleksandr Danilenkov,wissel-ariregister
SparksSSOÃœ(12579494),,,,[],,,05.12.2013,,12579494.0,,,,,,https://ariregister.rik.ee/eng/company/12579494/Sparks-SS-OÃœ?search_id=6b4eef4&pos=1185,,,,wissel-ariregister
Spark&StoneConceptOÃœ(12114424),Other business support service activities n.e.c.,,,[],,LÃ¤Ã¤ne-Viru maakond Kadrina vald Loobu kÃ¼la Sireli-1 45220,31.05.2011,,12114424.0,,,,,,https://ariregister.rik.ee/eng/company/12114424/Spark--Stone-Concept-OÃœ?search_id=6b4eef4&pos=1186,,,,wissel-ariregister
SparkSystemsOÃœ(12227766),Support activities for other mining and quarrying,,,[],,Harju maakond Tallinn LasnamÃ¤e linnaosa Peterburi tee 2f 11415   ,30.01.2012,,12227766.0,,,,,,https://ariregister.rik.ee/eng/company/12227766/Spark-Systems-OÃœ?search_id=6b4eef4&pos=1187,,,Teele Tuuna,wissel-ariregister
OÃœSPARKTD(12718487),"Other retail sale not in stores, stalls or markets",,,[],,,11.09.2014,,12718487.0,,,,,,https://ariregister.rik.ee/eng/company/12718487/OÃœ-SPARK-TD?search_id=6b4eef4&pos=1188,,,Sylver M\xc3\xa4nnik,wissel-ariregister
SparkTimeOÃœ(12448065),,,,[],,Harju maakond Tallinn Kesklinna linnaosa Endla tn 4 10142,03.04.2013,,12448065.0,,,,,,https://ariregister.rik.ee/eng/company/12448065/SparkTime-OÃœ?search_id=6b4eef4&pos=1189,,,,wissel-ariregister
SparkTrioOÃœ(10418829),"Publishing of textbooks, dictionaries and other encyclopaedias",,,[],,Peterburi tee 38 Tallinn city Harju county   ,25.03.1998,,10418829.0,,,,,,https://ariregister.rik.ee/eng/company/10418829/Spark-Trio-OÃœ?search_id=6b4eef4&pos=1190,,,Vjat\xc5\xa1eslav Timofejev,wissel-ariregister
SparkupOÃœ(16246588),Forwarding agencies services,,,[],,Tartu maakond Tartu vald Taabri kÃ¼la Kaasiku 60530   ,07.06.2021,,16246588.0,,,,,,https://ariregister.rik.ee/eng/company/16246588/Sparkup-OÃœ?search_id=6b4eef4&pos=1191,,,Genrich Lukkonen,wissel-ariregister
SparkWeldOÃœ(16566653),Retail sale via mail order houses or via Internet,,,[],,Ida-Viru maakond Narva linn Linda tn 1-49 20309   ,05.09.2022,,16566653.0,,,,,,https://ariregister.rik.ee/eng/company/16566653/SparkWeld-OÃœ?search_id=6b4eef4&pos=1192,,,Helina Reisalu,wissel-ariregister
