company_name,industry,sector,business_category,headquarters_city,headquarters_country,headquarters_full_address,year_founded,company_age,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,total_raised,representative_name,_source_table
Thai Airways,,,['Full-service Airlines'],[],[],,,[],,,,,,,,,,,,campaignindia
Asus,,,['Computer'],[],[],,,[],,,,,,,,,,,,campaignindia
JVC,,,['Camcorder'],[],[],,,[],,,,,,,,,,,,campaignindia
Prudential (UK),,,['Insurance'],[],[],,,[],,,,,,,,,,,,campaignindia
Maxims,,,['Coffee'],[],[],,,[],,,,,,,,,,,,campaignindia
Lion,,,['Toothpaste'],[],[],,,[],,,,,,,,,,,,campaignindia
BlackBerry,,,['Mobile Phone'],[],[],,,[],,,,,,,,,,,,campaignindia
Olympus,,,['Camera'],[],[],,,[],,,,,,,,,,,,campaignindia
Extra,,,['Chewing/Bubble Gum'],[],[],,,[],,,,,,,,,,,,campaignindia
Suntory,,,['Spirits/Beer'],[],[],,,[],,,,,,,,,,,,campaignindia
Garnier,,,['Skincare Product'],[],[],,,[],,,,,,,,,,,,campaignindia
Rejoice,,,['Shampoo'],[],[],,,[],,,,,,,,,,,,campaignindia
Virgin,,,['Full-service Airlines'],[],[],,,[],,,,,,,,,,,,campaignindia
Doublemint,,,['Chewing/Bubble Gum'],[],[],,,[],,,,,,,,,,,,campaignindia
Palmolive,,,['Shower Gel/Soap'],[],[],,,[],,,,,,,,,,,,campaignindia
IBM,,,['Computer'],[],[],,,[],,,,,,,,,,,,campaignindia
Mamy Poko,,,['Diaper'],[],[],,,[],,,,,,,,,,,,campaignindia
Dettol,,,['Shower Gel/Soap'],[],[],,,[],,,,,,,,,,,,campaignindia
Estée Lauder,,,['Cosmetics'],[],[],,,[],,,,,,,,,,,,campaignindia
Clinique,,,['Female Skincare Product/Cosmetics'],[],[],,,[],,,,,,,,,,,,campaignindia
Mengniu,,,['Milk'],[],[],,,[],,,,,,,,,,,,campaignindia
Lindt,,,['Chocolate'],[],[],,,[],,,,,,,,,,,,campaignindia
Hershey’s,,,['Chocolate'],[],[],,,[],,,,,,,,,,,,campaignindia
Cartier,,,['Jewellery'],[],[],,,[],,,,,,,,,,,,campaignindia
Malaysia Airlines,,,['Full-service Airlines'],[],[],,,[],,,,,,,,,,,,campaignindia
Tropicana,,,['Fruit Juice'],[],[],,,[],,,,,,,,,,,,campaignindia
Baidu,,,['Internet Search Engine'],[],[],,,[],,,,,,,,,,,,campaignindia
Pond’s,,,['Female Skincare Product'],[],[],,,[],,,,,,,,,,,,campaignindia
Dutch Lady,,,['Milk'],[],[],,,[],,,,,,,,,,,,campaignindia
Bank of China,,,['Bank'],[],[],,,[],,,,,,,,,,,,campaignindia
BATA,,,['Shoes'],[],[],,,[],,,,,,,,,,,,campaignindia
Carrefour,,,['Supermarket'],[],[],,,[],,,,,,,,,,,,campaignindia
Tsingtao,,,['Beer'],[],[],,,[],,,,,,,,,,,,campaignindia
Maybank,,,['Bank'],[],[],,,[],,,,,,,,,,,,campaignindia
Kirin,,,['Beer'],[],[],,,[],,,,,,,,,,,,campaignindia
Kookmin Bank (KB),,,['Bank'],[],[],,,[],,,,,,,,,,,,campaignindia
Dunlop,,,['Tyre'],[],[],,,[],,,,,,,,,,,,campaignindia
Red Bull,,,['Sports Drink'],[],[],,,[],,,,,,,,,,,,campaignindia
UPS,,,['Courier Company'],[],[],,,[],,,,,,,,,,,,campaignindia
Tiger Airways,,,['Budget Airlines'],[],[],,,[],,,,,,,,,,,,campaignindia
Swensen’s,,,['Ice-cream'],[],[],,,[],,,,,,,,,,,,campaignindia
Pedigree,,,['Pet Food'],[],[],,,[],,,,,,,,,,,,campaignindia
Naver,,,['Internet Search Engine'],[],[],,,[],,,,,,,,,,,,campaignindia
Wei Chuan,,,['Food and Beverage'],[],[],,,[],,,,,,,,,,,,campaignindia
China Mobile,,,['Mobile Service Provider'],[],[],,,[],,,,,,,,,,,,campaignindia
Big Bazaar,,,['Supermarket'],[],[],,,[],,,,,,,,,,,,campaignindia
Dove (Chocolate),,,['Chocolate'],[],[],,,[],,,,,,,,,,,,campaignindia
Mama,,,['Instant Noodles'],[],[],,,[],,,,,,,,,,,,campaignindia
CPC (Taiwan),,,['Petrol/Gas Station'],[],[],,,[],,,,,,,,,,,,campaignindia
Bing,,,['Internet Search Engine'],[],[],,,[],,,,,,,,,,,,campaignindia
Standard Chartered,,,['Bank'],[],[],,,[],,,,,,,,,,,,campaignindia
Siemens,,,['Consumer Electronics'],[],[],,,[],,,,,,,,,,,,campaignindia
ANA,,,['Full-service Airlines'],[],[],,,[],,,,,,,,,,,,campaignindia
