company_name,industry,headquarters_address,headquarters_city,headquarters_country,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,representative_name,total_raised,company_description,company_stage,share_price,legal_form,_source_table
Effortel,Financials,,,,2005,,,,,,,,,,,,Money movement,,,,MalPatSaj-wikipedia-org
ETAP Lighting,Consumer goods,,,,1949,,,,,,,,,,,,Lighting,,,,MalPatSaj-wikipedia-org
Eurogentec,Health care,,,,1985,,,,,,,,,,,,Biotech,,,,MalPatSaj-wikipedia-org
EVS Broadcast Equipment,Technology,,,,1994,,,,,,,,,,,,Broadcasting equipment,,,,MalPatSaj-wikipedia-org
Ferranti Computer Systems,Technology,,,,1976,,,,,,,,,,,,"Computers, previously a part of Ferranti (UK)",,,,MalPatSaj-wikipedia-org
Fluxys,Oil and gas,,,,2001,,,,,,,,,,,,"Natural gas, subsidiary of Suez",,,,MalPatSaj-wikipedia-org
Forrest Group,Basic materials,,,,1922,,,,,,,,,,,,Mining,,,,MalPatSaj-wikipedia-org
Gimv,Financials,,,,1980[9],,,,,,,,,,,,Investing,,,,MalPatSaj-wikipedia-org
Godiva Chocolatier,Consumer goods,,,,1926,,,,,,,,,,,,Chocolatier,,,,MalPatSaj-wikipedia-org
Group Joos,Consumer services,,,,1935,,,,,,,,,,,,"Printing, document management",,,,MalPatSaj-wikipedia-org
Groupe Bruxelles Lambert,Industrials,,,,1902,,,,,,,,,,,,Industrial holdings,,,,MalPatSaj-wikipedia-org
Guylian,Consumer goods,,,,1960,,,,,,,,,,,,Chocolatier,,,,MalPatSaj-wikipedia-org
IMEC,Technology,,,,1984,,,,,,,,,,,,Technology research center,,,,MalPatSaj-wikipedia-org
Imperia Automobiles,Consumer goods,,,,1906,,,,,,,,,,,,"Automotive, revived in 2009",,,,MalPatSaj-wikipedia-org
Innogenetics,Health care,,,,1985,,,,,,,,,,,,"Diagnostics, IVD",,,,MalPatSaj-wikipedia-org
Jan De Nul,Industrials,,,,1938,,,,,,,,,,,,"Construction, maritime maintenance",,,,MalPatSaj-wikipedia-org
Janssen Pharmaceutica,Health care,,,,1953,,,,,,,,,,,,"Pharma, subsidiary of Johnson & Johnson",,,,MalPatSaj-wikipedia-org
Jonckheere,Industrials,,,,1881,,,,,,,,,,,,Buses,,,,MalPatSaj-wikipedia-org
Katoen Natie,Industrials,,,,1854,,,,,,,,,,,,Logistics,,,,MalPatSaj-wikipedia-org
KBC Bank,Financials,,,,1985,,,,,,,,,,,,Bank,,,,MalPatSaj-wikipedia-org
Keytrade Bank,Financials,,,,1998,,,,,,,,,,,,Investments,,,,MalPatSaj-wikipedia-org
Kinepolis,Consumer services,,,,1997,,,,,,,,,,,,Movie theaters,,,,MalPatSaj-wikipedia-org
Larian Studios,Technology,,,,1996,,,,,,,,,,,,Game developer,,,,MalPatSaj-wikipedia-org
Libeco-Lagae,Consumer goods,,,,1997,,,,,,,,,,,,Textiles,,,,MalPatSaj-wikipedia-org
Louis Delhaize Group,Consumer services,,,,1875,,,,,,,,,,,,"Retail, supermarkets",,,,MalPatSaj-wikipedia-org
Luciad NV,Technology,,,,1999,,,,,,,,,,,,Geographic Information Systems (GIS),,,,MalPatSaj-wikipedia-org
Materialise NV,Technology,,,,1990,,,,,,,,,,,,3D printing solutions,,,,MalPatSaj-wikipedia-org
Metallo-Chimique,Basic materials,,,,1919,,,,,,,,,,,,Mining,,,,MalPatSaj-wikipedia-org
Mutoh Europe nv,Consumer goods,,,,1990,,,,,,,,,,,,Electronics,,,,MalPatSaj-wikipedia-org
Namahn,Industrials,,,,1987,,,,,,,,,,,,Design consulting,,,,MalPatSaj-wikipedia-org
National Railway Company of Belgium,Consumer services,,,,1926,,,,,,,,,,,,Passenger rail,,,,MalPatSaj-wikipedia-org
Compagnie Nationale à Portefeuille (CNP),Industrials,,,,1981,,,,,,,,,,,,Industrial holding,,,,MalPatSaj-wikipedia-org
Nyrstar,Basic materials,,,,2007,,,,,,,,,,,,Mining,,,,MalPatSaj-wikipedia-org
Option N.V.,Technology,,,,1986,,,,,,,,,,,,Wireless technology,,,,MalPatSaj-wikipedia-org
Proost,Consumer services,,,,1913,,,,,,,,,,,,Book publishing,,,,MalPatSaj-wikipedia-org
Proximus,Telecommunications,,,,1994,,,,,,,,,,,,"Mobile network, part of Proximus Group",,,,MalPatSaj-wikipedia-org
Proximus Group,Telecommunications,,,,1930,,,,,,,,,,,,State-owned telecommunications,,,,MalPatSaj-wikipedia-org
Regional Investment Company of Wallonia,Financials,,,,1979,,,,,,,,,,,,Investments,,,,MalPatSaj-wikipedia-org
Reynaers Aluminium,Basic materials,,,,1965,,,,,,,,,,,,Aluminium,,,,MalPatSaj-wikipedia-org
RHJ International,Financials,,,,1786,,,,,,,,,,,,Financial services group,,,,MalPatSaj-wikipedia-org
Ridley Bikes,Consumer goods,,,,1997,,,,,,,,,,,,Bicycles,,,,MalPatSaj-wikipedia-org
Saluc,Consumer goods,,,,1923,,,,,,,,,,,,Ball manufacturing,,,,MalPatSaj-wikipedia-org
Septentrio,Consumer goods,,,,2000,,,,,,,,,,,,Electronics,,,,MalPatSaj-wikipedia-org
Seyntex,Consumer goods,,,,1908,,,,,,,,,,,,Textiles,,,,MalPatSaj-wikipedia-org
Skytech,Industrials,,,,1989,,,,,,,,,,,,Helicopters,,,,MalPatSaj-wikipedia-org
Sofina,Financials,,,,1898,,,,,,,,,,,,Investing,,,,MalPatSaj-wikipedia-org
Solvay S.A.,Basic materials,,,,1863,,,,,,,,,,,,Industrial chemicals,,,,MalPatSaj-wikipedia-org
Soudal,Basic materials,,,,1966,,,,,,,,,,,,Silicone,,,,MalPatSaj-wikipedia-org
Sugar refinery of Tienen,Consumer goods,,,,1836,,,,,,,,,,,,Sugar,,,,MalPatSaj-wikipedia-org
Telenet,Telecommunications,,,,1996,,,,,,,,,,,,Broadband cable,,,,MalPatSaj-wikipedia-org
Teleroute,Industrials,,,,1985,,,,,,,,,,,,Freight,,,,MalPatSaj-wikipedia-org
Thermote & Vanhalst,Industrials,,,,1969,,,,,,,,,,,,"Spare parts, accessories",,,,MalPatSaj-wikipedia-org
Thomas Cook Airlines Belgium,Consumer services,,,,2001,,,,,,,,,,,,Charter airline,,,,MalPatSaj-wikipedia-org
Tibotec,Health care,,,,1994,,,,,,,,,,,,"Pharma, subsidiary of Johnson & Johnson (US)",,,,MalPatSaj-wikipedia-org
TiGenix,Health care,,,,2000,,,,,,,,,,,,Biomedical,,,,MalPatSaj-wikipedia-org
Tractebel,Industrials,,,,1986,,,,,,,,,,,,Engineering,,,,MalPatSaj-wikipedia-org
Truvo,Industrials,,,,1968,,,,,,,,,,,,"Local search, directories",,,,MalPatSaj-wikipedia-org
TUIfly Belgium,Consumer services,,,,2003,,,,,,,,,,,,Airline,,,,MalPatSaj-wikipedia-org
UCB,Health care,,,,1928,,,,,,,,,,,,Pharma,,,,MalPatSaj-wikipedia-org
UMedia,Consumer services,,,,2010,,,,,,,,,,,,Film studio,,,,MalPatSaj-wikipedia-org
Umicore,Basic materials,,,,1989,,,,,,,,,,,,Materials and mining,,,,MalPatSaj-wikipedia-org
Unibind,Industrials,,,,1939,,,,,,,,,,,,Bookbinding,,,,MalPatSaj-wikipedia-org
Union Minière du Haut Katanga,Basic materials,,,,1906,,,,,,,,,,,,"Mining, defunct 1966",,,,MalPatSaj-wikipedia-org
