company_name,industry,headquarters_address,headquarters_city,headquarters_country,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,representative_name,total_raised,company_description,company_stage,share_price,legal_form,_source_table
Royal Bank Of Canada,"['Banks', 'Financial services']",,,Canada,,,,,$139.63 B,,,,,,,,,,$99.64,,companiesMarketCap_dataset
Catl,"['Batteries', 'Electricity']",,,China,,,,,$136.36 B,,,,,,,,,,$55.83,,companiesMarketCap_dataset
Qualcomm,"['Tech', 'Semiconductors', 'Tech Hardware']",,,USA,,,,,$140.86 B,,,,,,,,,,$125.66,,companiesMarketCap_dataset
Netflix,"['Entertainment', 'Internet', 'Tech']",,,USA,,,,,$142.58 B,,,,,,,,,,$320.41,,companiesMarketCap_dataset
Agricultural Bank Of China,"['Banks', 'Financial services']",,,China,,,,,$140.40 B,,,,,,,,,,$0.41,,companiesMarketCap_dataset
Salesforce,"['Software', 'Dow jones', 'Tech']",,,USA,,,,,$144.55 B,,,,,,,,,,$144.56,,companiesMarketCap_dataset
Honeywell,"['Dow jones', 'Aerospace', 'Defense contractors']",,,USA,,,,,$147.29 B,,,,,,,,,,$219.08,,companiesMarketCap_dataset
Raytheon Technologies,"['Aerospace', 'Defense contractors']",,,USA,,,,,$148.49 B,,,,,,,,,,$101.01,,companiesMarketCap_dataset
China Mobile,['Telecommunication'],,,China,,,,,$149.18 B,,,,,,,,,,$6.59,,companiesMarketCap_dataset
Totalenergies,"['Oil&Gas', 'Energy', 'CAC 40']",,,France,,,,,$151.61 B,,,,,,,,,,$60.61,,companiesMarketCap_dataset
Conocophillips,"['Oil&Gas', 'Energy']",,,USA,,,,,$152.24 B,,,,,,,,,,$122.18,,companiesMarketCap_dataset
China Construction Bank,"['Banks', 'Financial services']",,,China,,,,,$153.33 B,,,,,,,,,,$0.78,,companiesMarketCap_dataset
Amgen,"['Pharmaceuticals', 'Dow jones', 'Biotech']",,,USA,,,,,$152.34 B,,,,,,,,,,$285.51,,companiesMarketCap_dataset
Tata Consultancy Services,"['IT services', 'Professional services']",,,India,,,,,$154.57 B,,,,,,,,,,$42.24,,companiesMarketCap_dataset
Charles Schwab,"['Financial services', 'Banks']",,,USA,,,,,$153.93 B,,,,,,,,,,$82.46,,companiesMarketCap_dataset
Adobe,"['Software', 'Tech']",,,USA,,,,,$158.77 B,,,,,,,,,,$341.53,,companiesMarketCap_dataset
Comcast,"['Telecommunication', 'Media/Press', 'Entertainment']",,,USA,,,,,$155.03 B,,,,,,,,,,$35.86,,companiesMarketCap_dataset
Morgan Stanley,"['Banks', 'Financial services', 'Investment']",,,USA,,,,,$155.65 B,,,,,,,,,,$92.10,,companiesMarketCap_dataset
Bhp Group,['Mining'],,,Australia,,,,,$160.50 B,,,,,,,,,,$63.43,,companiesMarketCap_dataset
Verizon,"['Telecommunication', 'Dow jones']",,,USA,,,,,$160.34 B,,,,,,,,,,$38.18,,companiesMarketCap_dataset
Texas Instruments,"['Semiconductors', 'Tech', 'Tech Hardware']",,,USA,,,,,$161.23 B,,,,,,,,,,$177.66,,companiesMarketCap_dataset
Philip Morris,['Tobacco'],,,USA,,,,,$161.68 B,,,,,,,,,,$104.30,,companiesMarketCap_dataset
Linde,"['DAX', 'Chemicals']",,,UK,,,,,$166.77 B,,,,,,,,,,$337.35,,companiesMarketCap_dataset
United Parcel Service,"['Courier', 'Transportation']",,,USA,,,,,$163.80 B,,,,,,,,,,$189.39,,companiesMarketCap_dataset
Hermès,"['Luxury goods', 'CAC 40']",,,France,,,,,$167.38 B,,,,,,,,,,"$1,601",,companiesMarketCap_dataset
Nextera Energy,"['Energy', 'Electricity', 'Utility companies', 'Renewable energy']",,,USA,,,,,$169.30 B,,,,,,,,,,$85.20,,companiesMarketCap_dataset
Volkswagen,"['Automakers', 'DAX', 'Manufacturing']",,,Germany,,,,,$87.16 B,,,,,,,,,,$146.40,,companiesMarketCap_dataset
Cm Bank,"['Banks', 'Financial services']",,,China,,,,,$123.17 B,,,,,,,,,,$4.94,,companiesMarketCap_dataset
Glencore,"['Mining', 'Coal Mining', 'Energy']",,,Switzerland,,,,,$88.10 B,,,,,,,,,,$6.84,,companiesMarketCap_dataset
Canadian National Railway,"['Railways', 'Transportation']",,,Canada,,,,,$87.19 B,,,,,,,,,,$127.83,,companiesMarketCap_dataset
Wuliangye Yibin,"['Beverages', 'Alcoholic beverages']",,,China,,,,,$90.17 B,,,,,,,,,,$23.23,,companiesMarketCap_dataset
Chubb,['Insurance'],,,Switzerland,,,,,$90.96 B,,,,,,,,,,$219.16,,companiesMarketCap_dataset
Applied Materials,"['Semiconductors', 'Tech', 'Tech Hardware']",,,USA,,,,,$91.80 B,,,,,,,,,,$106.71,,companiesMarketCap_dataset
Citigroup,"['Banks', 'Financial services']",,,USA,,,,,$91.49 B,,,,,,,,,,$47.24,,companiesMarketCap_dataset
Stryker Corporation,['Medical devices'],,,USA,,,,,$92.00 B,,,,,,,,,,$243.11,,companiesMarketCap_dataset
Mondelez,['Food'],,,USA,,,,,$93.28 B,,,,,,,,,,$68.31,,companiesMarketCap_dataset
Tjx Companies,"['Retail', 'Clothing']",,,USA,,,,,$93.10 B,,,,,,,,,,$80.19,,companiesMarketCap_dataset
Airbus,"['Aircraft manufacturers', 'Aerospace', 'CAC 40', 'Manufacturing', 'DAX']",,,Netherlands,,,,,$92.04 B,,,,,,,,,,$116.87,,companiesMarketCap_dataset
General Electric,['Conglomerate'],,,USA,,,,,$94.93 B,,,,,,,,,,$86.88,,companiesMarketCap_dataset
Ntt (nippon Telegraph & Telephone),['Telecommunication'],,,Japan,,,,,$94.57 B,,,,,,,,,,$27.25,,companiesMarketCap_dataset
British American Tobacco,['Tobacco'],,,UK,,,,,$94.99 B,,,,,,,,,,$42.31,,companiesMarketCap_dataset
Byd,"['Automakers', 'Manufacturing']",,,China,,,,,$95.45 B,,,,,,,,,,$37.34,,companiesMarketCap_dataset
Csl,"['Biotech', 'Pharmaceuticals']",,,Australia,,,,,$98.93 B,,,,,,,,,,$205.17,,companiesMarketCap_dataset
Intuitive Surgical,['Medical devices'],,,USA,,,,,$96.20 B,,,,,,,,,,$272.25,,companiesMarketCap_dataset
American Tower,"['Telecommunication', 'Real estate', 'REITs', 'Infrastructure']",,,USA,,,,,$102.13 B,,,,,,,,,,$219.37,,companiesMarketCap_dataset
Cigna,['Insurance'],,,USA,,,,,$100.03 B,,,,,,,,,,$327.20,,companiesMarketCap_dataset
Porsche,"['Automakers', 'Manufacturing']",,,Germany,,,,,$102.65 B,,,,,,,,,,$112.68,,companiesMarketCap_dataset
Keyence,"['Tech Hardware', 'Tech', 'Scientific & Technical Instruments']",,,Japan,,,,,$102.68 B,,,,,,,,,,$423.40,,companiesMarketCap_dataset
Sony,"['Video games', 'Electronics', 'Tech', 'Entertainment', 'Tech Hardware']",,,Japan,,,,,$103.02 B,,,,,,,,,,$82.79,,companiesMarketCap_dataset
Deutsche Telekom,"['Telecommunication', 'DAX']",,,Germany,,,,,$102.87 B,,,,,,,,,,$20.69,,companiesMarketCap_dataset
Medtronic,['Medical devices'],,,Ireland,,,,,$105.90 B,,,,,,,,,,$79.62,,companiesMarketCap_dataset
Lg Energy Solution,"['Batteries', 'Electricity', 'Energy']",,,South Korea,,,,,$105.29 B,,,,,,,,,,$449.97,,companiesMarketCap_dataset
Jingdong Mall,"['E-Commerce', 'Internet', 'Retail', 'Tech']",,,China,,,,,$105.71 B,,,,,,,,,,$58.64,,companiesMarketCap_dataset
Bp,"['Oil&Gas', 'Energy']",,,UK,,,,,$107.07 B,,,,,,,,,,$35.36,,companiesMarketCap_dataset
Diageo,"['Alcoholic beverages', 'Beverages']",,,UK,,,,,$108.84 B,,,,,,,,,,$191.39,,companiesMarketCap_dataset
Blackrock,['Investment'],,,USA,,,,,$107.08 B,,,,,,,,,,$712.98,,companiesMarketCap_dataset
Prologis,"['Real estate', 'Investment', 'REITs']",,,USA,,,,,$107.94 B,,,,,,,,,,$116.94,,companiesMarketCap_dataset
Boeing,"['Aircraft manufacturers', 'Aerospace', 'Dow jones', 'Manufacturing']",,,USA,,,,,$108.98 B,,,,,,,,,,$182.87,,companiesMarketCap_dataset
Pinduoduo,"['E-Commerce', 'Internet', 'Tech']",,,China,,,,,$109.16 B,,,,,,,,,,$86.34,,companiesMarketCap_dataset
Gilead Sciences,"['Pharmaceuticals', 'Biotech']",,,USA,,,,,$111.66 B,,,,,,,,,,$89.03,,companiesMarketCap_dataset
Automatic Data Processing,"['Software', 'IT services', 'Professional services', 'Tech']",,,USA,,,,,$111.96 B,,,,,,,,,,$269.90,,companiesMarketCap_dataset
Rio Tinto,['Mining'],,,UK,,,,,$113.15 B,,,,,,,,,,$69.82,,companiesMarketCap_dataset
Siemens,"['Engineering', 'DAX']",,,Germany,,,,,$113.81 B,,,,,,,,,,$141.85,,companiesMarketCap_dataset
Sanofi,"['CAC 40', 'Pharmaceuticals', 'Biotech']",,,France,,,,,$114.09 B,,,,,,,,,,$45.01,,companiesMarketCap_dataset
Ping An Insurance,['Insurance'],,,China,,,,,$115.00 B,,,,,,,,,,$6.36,,companiesMarketCap_dataset
Intuit,"['Software', 'Tech']",,,USA,,,,,$114.59 B,,,,,,,,,,$407.92,,companiesMarketCap_dataset
China Life Insurance,['Insurance'],,,China,,,,,$115.97 B,,,,,,,,,,$5.03,,companiesMarketCap_dataset
Equinor,"['Energy', 'Oil&Gas', 'Electricity']",,,Norway,,,,,$115.89 B,,,,,,,,,,$36.87,,companiesMarketCap_dataset
American Express,"['Dow jones', 'Financial services']",,,USA,,,,,$117.12 B,,,,,,,,,,$156.75,,companiesMarketCap_dataset
S&p Global,['Financial services'],,,USA,,,,,$117.22 B,,,,,,,,,,$359.80,,companiesMarketCap_dataset
Anheuser-busch Inbev,"['Alcoholic beverages', 'Beverages']",,,Belgium,,,,,$120.11 B,,,,,,,,,,$60.35,,companiesMarketCap_dataset
Aia,['Insurance'],,,Hong Kong,,,,,$120.50 B,,,,,,,,,,$10.23,,companiesMarketCap_dataset
Starbucks,['Beverages'],,,USA,,,,,$120.57 B,,,,,,,,,,$105.05,,companiesMarketCap_dataset
