company_name,industry,sector,year_founded,ownership,headquarters_city,headquarters_country,headquarters_full_address,company_website,total_revenue_usd,net_profit_usd,total_assets_usd,employee_count,market_cap_usd,social_media_links,total_raised,company_type,ceo_name,representative_name,_source_table
closip,Cyber Security,,2016,,[],['Japan'],,,1.43,,,12,,,,,,,ft-com
Coda Payments,Fintech,,2011,,[],['Singapore'],,,144.86,,,232,,,,,,,ft-com
Hyper Anna,Technology,,2016,,[],['Australia'],,,1.86,,,40,,,,,,,ft-com
Sun Protection Apparel,Ecommerce,,2014,,[],['Australia'],,,1.89,,,12,,,,,,,ft-com
The Future of Cooking,Retail,,2016,,[],['Singapore'],,,8.35,,,10,,,,,,,ft-com
HCL-Logistics,Transport,,2017,,[],['Germany'],,,"11,387,156",,,24,,,,,,,ft-com
jobandtalent,Technology,,2009,,[],['Spain'],,,"271,481,287",,,783,,,,,,,ft-com
Landbay Partners,Financial Services,,2014,,[],['UK'],,,"9,155,241",,,98,,,,,,,ft-com
Crep Protect,Fashion,,2014,,[],['United Kingdom'],,,28.7,,,29,,,,,,,ft-com
Loship,Food & Beverage,,2017,,[],['Vietnam'],,,14.54,,,200,,,,,,,ft-com
First Circle,Financial Services,,2016,,[],['Philippines'],,,5.62,,,108,,,,,,,ft-com
CloudWave,Technology,,2013,,[],['Australia'],,,3.77,,,18,,,,,,,ft-com
Dementia Caring ,Health,,2015,,[],['Australia'],,,20.56,,,219,,,,,,,ft-com
Dana Brata Luhur,Transport,,2008,,[],['Indonesia'],,,26.85,,,193,,,,,,,ft-com
Fabelio,Retail,,2015,,[],['Indonesia'],,,13.04,,,344,,,,,,,ft-com
Popsa,Technology,,2016,,[],['UK'],,,"21,455,864",,,34,,,,,,,ft-com
Chilly's Bottles,Retail,,2010,,[],['UK'],,,"35,348,422",,,371,,,,,,,ft-com
Viajes Libratur (iTravex),Travel & Leisure,,2007,,[],['Spain'],,,43.7,,,62,,,,,,,ft-com
Mohan Electro Casting,Industrial Goods,,2002,,[],['India'],,,3.23,,,35,,,,,,,ft-com
GTOG International,Sales & Marketing,,2016,,[],['South Korea'],,,35.34,,,25,,,,,,,ft-com
WAVE Life Sciences,Health,,2012,,[],['Singapore'],,,15.84,,,301,,,,,,,ft-com
SkillLane,Education,,2014,,[],['Thailand'],,,3.05,,,44,,,,,,,ft-com
Unit8,Technology,,2017,,[],['Switzerland'],,,"7,234,981",,,41,,,,,,,ft-com
safe4u,Technology,,2013,,[],['Germany'],,,"6,700,000",,,9,,,,,,,ft-com
Darktrace,Cyber Security,,2013,,[],['United Kingdom'],,,36.1,,,618,,,,,,,ft-com
OakNorth Bank,Fintech,,2015,,[],['United Kingdom'],,,67.91,,,200,,,,,,,ft-com
