company_name,industry,headquarters_address,headquarters_city,headquarters_country,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,representative_name,total_raised,company_description,company_stage,share_price,legal_form,_source_table
Lava International,Telecom,,,,2009,Public,,,,,,,,,,,,,,,AmbitionBox
Publicis Sapient,IT Services & Consulting,,,,1990,Private,,,,,,,,,,,,,,,AmbitionBox
Bank of America,Banking,,,,1998,Private,,,,,,,,,,,,,,,AmbitionBox
Ceat Tyres,Auto Components,,,,1958,Public,,,,,,,,,,,,,,,AmbitionBox
Huawei Technologies,IT Services & Consulting,,,,2002,Private,,,,,,,,,,,,,,,AmbitionBox
Tata AIA Life Insurance,Insurance,,,,2001,Private,,,,,,,,,,,,,,,AmbitionBox
Jindal Steel and Power,Iron & Steel,,,,1952,Private,,,,,,,,,,,,,,,AmbitionBox
RSPL Group,FMCG,,,,1987,Private,,,,,,,,,,,,,,,AmbitionBox
Torrent Pharmaceuticals,Pharma,,,,1971,Public,,,,,,,,,,,,,,,AmbitionBox
ITC Infotech India,IT Services & Consulting,,,,2000,Private,,,,,,,,,,,,,,,AmbitionBox
PNB MetLife,Insurance,,,,2001,Private,,,,,,,,,,,,,,,AmbitionBox
Tractors and Farm Equipment,Automobile,,,,1960,Public,,,,,,,,,,,,,,,AmbitionBox
RBL Bank,Banking,,,,1943,Public,,,,,,,,,,,,,,,AmbitionBox
ACC,Building Material,,,,1936,Public,,,,,,,,,,,,,,,AmbitionBox
State Street Syntel,Financial Services,,,,2004,Private,,,,,,,,,,,,,,,AmbitionBox
Biocon Biologics India,Biotechnology,,,,1978,Public,,,,,,,,,,,,,,,AmbitionBox
Capita,BPO/KPO,,,,2005,Private,,,,,,,,,,,,,,,AmbitionBox
IndiGo,Logistics,,,,2005,Private,,,,,,,,,,,,,,,AmbitionBox
Utkarsh Small Finance Bank,Banking,,,,2009,Public,,,,,,,,,,,,,,,AmbitionBox
Berger Paints,Chemicals,,,,1923,Public,,,,,,,,,,,,,,,AmbitionBox
Future Retail,Retail,,,,1987,Public,,,,,,,,,,,,,,,AmbitionBox
Kotak Mahindara Life Insurance,Insurance,,,,2001,Public,,,,,,,,,,,,,,,AmbitionBox
Aarti Industries,Chemicals,,,,1975,Public,,,,,,,,,,,,,,,AmbitionBox
HDFC Ergo General Insurance,Insurance,,,,2002,Public,,,,,,,,,,,,,,,AmbitionBox
Dabur,FMCG,,,,1884,Public,,,,,,,,,,,,,,,AmbitionBox
Cogent E Services,BPO,,,,2004,Private,,,,,,,,,,,,,,,AmbitionBox
GeBBS Healthcare Solutions,BPO,,,,2005,Private,,,,,,,,,,,,,,,AmbitionBox
Apollo Tyres,Auto Components,,,,1972,Public,,,,,,,,,,,,,,,AmbitionBox
Persistent Systems,IT Services & Consulting,,,,1990,Public,,,,,,,,,,,,,,,AmbitionBox
KPIT Technologies,Software Product,,,,1990,Public,,,,,,,,,,,,,,,AmbitionBox
JK Cement,Building Material,,,,1974,Public,,,,,,,,,,,,,,,AmbitionBox
R1 RCM,Accounting & Auditing,,,,2003,Private,,,,,,,,,,,,,,,AmbitionBox
Patanjali Ayurved,FMCG,,,,2006,Private,,,,,,,,,,,,,,,AmbitionBox
