company_name,industry,headquarters_address,headquarters_city,headquarters_country,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,representative_name,total_raised,company_description,company_stage,share_price,legal_form,_source_table
Autostrade Per L'italia Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIA ALBERTO BERGAMINI 50,ROMA,ITALY,1950,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Trenitalia Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",PIAZZA DELLA CROCE ROSSA 1,ROMA,ITALY,1905,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Fideuram Vita Spa,"Finance, Insurance, and Real Estate",VIA ENNIO QUIRINO VISCONTI 80,ROMA,ITALY,1980,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Marcegaglia Holding Srl,Manufacturing,VIA BRESCIANI 16,MANTOVA,ITALY,2015,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Vodafone Italia Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIA GUGLIELMO JERVIS 13,TORINO,ITALY,2002,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Edison Energia Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",FORO BUONAPARTE 31,MILANO,ITALY,1986,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Italpreziosi Spa,Manufacturing,LOCALITA' SAN ZENO ZONA INDUSTRIALE STRADA A 32,AREZZO,ITALY,1984,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Assicurazioni Generali Spa,"Finance, Insurance, and Real Estate",PIAZZA LUIGI AMEDEO DUCA DEGLI ABRUZZI 2,TRIESTE,ITALY,1831,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Groupe Psa Italia Spa,Retail Trade,VIA PLAVA 80,TORINO,ITALY,1969,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Finanziaria D'investimento Fininvest Spa,"Finance, Insurance, and Real Estate",VIA PIETRO PALEOCAPA 3,MILANO,ITALY,1978,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Cassa Depositi E Prestiti Spa,"Finance, Insurance, and Real Estate",VIA GOITO 4,ROMA,ITALY,1946,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Aurelia Srl,"Finance, Insurance, and Real Estate",STRADA STATALE PER NOVI LIGURE 3/13,ALESSANDRIA,ITALY,1983,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
A.i.a. Agricola Italiana Alimentare Spa,Wholesale Trade,VIA VALPANTENA 18/G,VERONA,ITALY,1967,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Banco Bpm Spa,"Finance, Insurance, and Real Estate",PIAZZA NOGARA 2,VERONA,ITALY,2016,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Acea Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",PIAZZALE OSTIENSE 2,ROMA,ITALY,1908,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
B&d Holding Spa,"Finance, Insurance, and Real Estate",VIA GIOVANNI DA VERRAZZANO 15,NOVARA,ITALY,2012,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
De Agostini Spa,"Finance, Insurance, and Real Estate",VIA GIOVANNI DA VERRAZZANO 15,NOVARA,ITALY,1901,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Gs Spa,Retail Trade,VIA CALDERA 21,MILANO,ITALY,1965,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Cnp Vita Assicurazione Spa,"Finance, Insurance, and Real Estate",VIA ANGELO SCARSELLINI 14,MILANO,ITALY,1990,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Cnp Vita Assicura Spa,"Finance, Insurance, and Real Estate",VIA ANGELO SCARSELLINI 14,MILANO,ITALY,1988,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Pac 2000 A Soc Coop,Wholesale Trade,VIA DEL RAME SNC,PERUGIA,ITALY,1972,Cooperative,,,,,,,,,,,,,,,hitHorizons_dataset
Ludo Spa,"Finance, Insurance, and Real Estate",VIA ANTONIO FOGAZZARO 28,MILANO,ITALY,2014,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Prada Spa,Retail Trade,VIA LUNGARNO 1213-61,AREZZO,ITALY,1990,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Acciaierie D'italia Spa,Manufacturing,VIALE CERTOSA 239,MILANO,ITALY,1995,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Acciaierie D'italia Holding Spa,Manufacturing,VIALE CERTOSA 239,MILANO,ITALY,2016,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Allianz Global Investors Gmbh,"Finance, Insurance, and Real Estate",VIA DURINI 1,MILANO,ITALY,2012,Foreign Company,,,,,,,,,,,,,,,hitHorizons_dataset
Sony Europe B.v.,Wholesale Trade,VIA ANGELO RIZZOLI 4,MILANO,ITALY,2018,Foreign Company,,,,,,,,,,,,,,,hitHorizons_dataset
Sorgenia Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIA ALESSANDRO ALGARDI 4,MILANO,ITALY,1999,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
F2i Er 1 Spa,"Finance, Insurance, and Real Estate",VIA SAN PROTASO 5,MILANO,ITALY,2014,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
